Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
GRLR,1.0,100,11.8091,0.836598,11.4
GRLR,1.2,10,0.0000,1.113542,11.4
GRLR,1.2,20,0.0197,1.113322,11.4
GRLR,1.2,30,0.7846,1.104817,11.4
GRLR,1.2,40,3.2561,1.077304,11.4
GRLR,1.2,50,5.7558,1.049469,11.4
GRLR,1.2,60,7.8489,1.026161,11.4
GRLR,1.2,70,9.6287,1.006341,11.4
GRLR,1.2,80,11.1551,0.989343,11.4
GRLR,1.2,90,12.4754,0.974640,11.4
GRLR,1.2,100,13.6290,0.961793,11.4
GRLR,1.4,10,0.0000,1.266856,11.4
GRLR,1.4,20,0.1224,1.265307,11.4
GRLR,1.4,30,1.8590,1.243332,11.4
GRLR,1.4,40,4.8427,1.205538,11.4
GRLR,1.4,50,7.3670,1.173558,11.4
GRLR,1.4,60,9.4754,1.146846,11.4
GRLR,1.4,70,11.2605,1.124230,11.4
GRLR,1.4,80,12.7868,1.104892,11.4
GRLR,1.4,90,14.1072,1.088164,11.4
GRLR,1.4,100,15.2607,1.073548,11.4
GRLR,1.6,10,0.0000,1.407946,11.4
GRLR,1.6,20,0.3859,1.402526,11.4
GRLR,1.6,30,3.2050,1.362864,11.4
GRLR,1.6,40,6.2954,1.319354,11.4
GRLR,1.6,50,8.8303,1.283662,11.4
GRLR,1.6,60,10.9467,1.253863,11.4
GRLR,1.6,70,12.7318,1.228727,11.4
GRLR,1.6,80,14.2581,1.207235,11.4
GRLR,1.6,90,15.5785,1.188643,11.4
GRLR,1.6,100,16.7321,1.172399,11.4
GRLR,1.8,10,0.0000,1.536589,11.4
GRLR,1.8,20,0.9368,1.522231,11.4
GRLR,1.8,30,4.5058,1.467408,11.4
GRLR,1.8,40,7.6131,1.419663,11.4
GRLR,1.8,50,10.1637,1.380468,11.4
GRLR,1.8,60,12.2801,1.347945,11.4
GRLR,1.8,70,14.0652,1.320513,11.4
GRLR,1.8,80,15.5915,1.297056,11.4
GRLR,1.8,90,16.9119,1.276765,11.4
