Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
GRLR,1.0,100,12.6956,0.826709,11.4
GRLR,1.2,10,0.0000,1.110758,11.4
GRLR,1.2,20,0.0689,1.109994,11.4
GRLR,1.2,30,1.4523,1.094646,11.4
GRLR,1.2,40,4.2146,1.063974,11.4
GRLR,1.2,50,6.7283,1.036054,11.4
GRLR,1.2,60,8.8175,1.012848,11.4
GRLR,1.2,70,10.5881,0.993180,11.4
GRLR,1.2,80,12.0964,0.976426,11.4
GRLR,1.2,90,13.3960,0.961989,11.4
GRLR,1.2,100,14.5276,0.949418,11.4
GRLR,1.4,10,0.0000,1.262704,11.4
GRLR,1.4,20,0.2865,1.259095,11.4
GRLR,1.4,30,2.7587,1.227909,11.4
GRLR,1.4,40,5.8111,1.189373,11.4
GRLR,1.4,50,8.3481,1.157339,11.4
GRLR,1.4,60,10.4563,1.130718,11.4
GRLR,1.4,70,12.2285,1.108339,11.4
GRLR,1.4,80,13.7368,1.089291,11.4
GRLR,1.4,90,15.0364,1.072879,11.4
GRLR,1.4,100,16.1680,1.058588,11.4
GRLR,1.6,10,0.0007,1.402155,11.4
GRLR,1.6,20,0.7985,1.390995,11.4
GRLR,1.6,30,4.1347,1.344250,11.4
GRLR,1.6,40,7.2699,1.300293,11.4
GRLR,1.6,50,9.8209,1.264524,11.4
GRLR,1.6,60,11.9337,1.234897,11.4
GRLR,1.6,70,13.7059,1.210046,11.4
GRLR,1.6,80,15.2142,1.188894,11.4
GRLR,1.6,90,16.5138,1.170669,11.4
GRLR,1.6,100,17.6454,1.154799,11.4
GRLR,1.8,10,0.0176,1.528690,11.4
GRLR,1.8,20,1.6312,1.504076,11.4
GRLR,1.8,30,5.4421,1.445834,11.4
GRLR,1.8,40,8.5948,1.397633,11.4
GRLR,1.8,50,11.1585,1.358435,11.4
GRLR,1.8,60,13.2713,1.326128,11.4
GRLR,1.8,70,15.0435,1.299029,11.4
GRLR,1.8,80,16.5518,1.275964,11.4
GRLR,1.8,90,17.8514,1.256090,11.4
GRLR,1.8,100,18.9830,1.238784,11.4
GRLR,2.0,10,0.0360,1.642659,11.4
GRLR,2.0,20,2.6857,1.599201,11.4
GRLR,2.0,30,6.6434,1.534185,11.4
GRLR,2.0,40,9.8115,1.482128,11.4
GRLR,2.0,50,12.3752,1.439999,11.4
GRLR,2.0,60,14.4880,1.405276,11.4
GRLR,2.0,70,16.2602,1.376151,11.4
GRLR,2.0,80,17.7684,1.351362,11.4
GRLR,2.0,90,19.0680,1.330001,11.4
GRLR,2.0,100,20.2088,1.311252,11.4
GRLR,2.2,10,0.0943,1.743834,11.4
GRLR,2.2,20,3.7292,1.680491,11.4
GRLR,2.2,30,7.7441,1.610426,11.4
GRLR,2.2,40,10.9230,1.554941,11.4
GRLR,2.2,50,13.4866,1.510191,11.4
GRLR,2.2,60,15.5995,1.473308,11.4
GRLR,2.2,70,17.3716,1.442370,11.4
GRLR,2.2,80,18.8814,1.416013,11.4
GRLR,2.2,90,20.1921,1.393130,11.4
GRLR,2.2,100,21.3344,1.373188,11.4
GRLR,2.4,10,0.3052,1.830696,11.4
GRLR,2.4,20,4.7307,1.749531,11.4
GRLR,2.4,30,8.7635,1.675492,11.4
GRLR,2.4,40,11.9423,1.617122,11.4
GRLR,2.4,50,14.5060,1.570043,11.4
GRLR,2.4,60,16.6188,1.531241,11.4
GRLR,2.4,70,18.3936,1.498645,11.4
GRLR,2.4,80,19.9136,1.470730,11.4
GRLR,2.4,90,21.2244,1.446657,11.4
GRLR,2.4,100,22.3667,1.425677,11.4
GRLR,2.6,10,0.7014,1.903041,11.4
GRLR,2.6,20,5.6571,1.808158,11.4
GRLR,2.6,30,9.7017,1.730658,11.4
GRLR,2.6,40,12.8806,1.669740,11.4
GRLR,2.6,50,15.4442,1.620606,11.4
GRLR,2.6,60,17.5593,1.580068,11.4
GRLR,2.6,70,19.3438,1.545866,11.4
GRLR,2.6,80,20.8637,1.516732,11.4
GRLR,2.6,90,22.1745,1.491608,11.4
GRLR,2.6,100,23.3168,1.469712,11.4
GRLR,2.8,10,1.2970,1.961124,11.4
GRLR,2.8,20,6.5168,1.857484,11.4
GRLR,2.8,30,10.5681,1.777005,11.4
GRLR,2.8,40,13.7470,1.713850,11.4
GRLR,2.8,50,16.3110,1.662906,11.4
GRLR,2.8,60,18.4367,1.620670,11.4
